author,text
George Orwell,"The boat before the tide turned carried only one passenger across. At once, people began to speak of it in phrases chosen to make responsibility disappear. By nightfall, the public version had become more useful than the truth."
George Orwell,"An empty chair at the far end of the room troubled the guests more than it should have. At once, people began to speak of it in phrases chosen to make responsibility disappear. No one was ordered to forget it; they simply learned that remembering was inconvenient."
George Orwell,"The judge after hearing both sides asked for one final piece of evidence. At once, people began to speak of it in phrases chosen to make responsibility disappear. The language around the matter grew cleaner as the facts grew dirtier."
George Orwell,"A cracked mirror above the fireplace reflected a face no one had noticed. At once, people began to speak of it in phrases chosen to make responsibility disappear. It was the kind of event that authorities described as minor until it could no longer be ignored."
George Orwell,"The library near closing received a book with several pages removed. At once, people began to speak of it in phrases chosen to make responsibility disappear. The official explanation was neat, and therefore suspect."
George Orwell,"A stranger at the station spoke as if he knew the town well. At once, people began to speak of it in phrases chosen to make responsibility disappear. By nightfall, the public version had become more useful than the truth."
George Orwell,"The ledger on the desk showed that a payment had been entered twice. At once, people began to speak of it in phrases chosen to make responsibility disappear. No one was ordered to forget it; they simply learned that remembering was inconvenient."
George Orwell,"A bell from the church tower rang at an hour when it never rang. At once, people began to speak of it in phrases chosen to make responsibility disappear. The language around the matter grew cleaner as the facts grew dirtier."
George Orwell,"The path through the woods ended beside a house with no smoke above it. At once, people began to speak of it in phrases chosen to make responsibility disappear. It was the kind of event that authorities described as minor until it could no longer be ignored."
George Orwell,"A receipt inside a coat pocket placed the owner somewhere unexpected. At once, people began to speak of it in phrases chosen to make responsibility disappear. The official explanation was neat, and therefore suspect."
George Orwell,"The servant when questioned smiled before giving an incomplete answer. At once, people began to speak of it in phrases chosen to make responsibility disappear. By nightfall, the public version had become more useful than the truth."
George Orwell,"A newspaper under the bench carried a headline everyone pretended not to see. At once, people began to speak of it in phrases chosen to make responsibility disappear. No one was ordered to forget it; they simply learned that remembering was inconvenient."
George Orwell,"The orchard in early morning held footprints leading away from the lane. At once, people began to speak of it in phrases chosen to make responsibility disappear. The language around the matter grew cleaner as the facts grew dirtier."
George Orwell,"A locked drawer in the study opened only after a second attempt. At once, people began to speak of it in phrases chosen to make responsibility disappear. It was the kind of event that authorities described as minor until it could no longer be ignored."
George Orwell,"The crowd outside the courthouse waited for news that did not come. At once, people began to speak of it in phrases chosen to make responsibility disappear. The official explanation was neat, and therefore suspect."
George Orwell,"A faded map behind a painting marked a route no longer used. At once, people began to speak of it in phrases chosen to make responsibility disappear. By nightfall, the public version had become more useful than the truth."
George Orwell,"The dinner after the toast became tense for reasons no guest explained. At once, people began to speak of it in phrases chosen to make responsibility disappear. No one was ordered to forget it; they simply learned that remembering was inconvenient."
George Orwell,"A forgotten glove on the staircase belonged to someone who denied visiting. At once, people began to speak of it in phrases chosen to make responsibility disappear. The language around the matter grew cleaner as the facts grew dirtier."
George Orwell,"The final page at the end of the file was missing when the case was reviewed. At once, people began to speak of it in phrases chosen to make responsibility disappear. It was the kind of event that authorities described as minor until it could no longer be ignored."
Jane Austen,"A letter at dawn arrived after a long delay, a circumstance which produced more feeling than the occasion might reasonably have deserved. It was admired as sensible by those who had no intention of being inconvenienced by it."
Jane Austen,"The meeting before noon ended without a clear decision, a circumstance which produced more feeling than the occasion might reasonably have deserved. The concern shown by several persons was exactly proportioned to their own advantage."
Jane Austen,"A missing key near the old gate was found beneath a loose stone, a circumstance which produced more feeling than the occasion might reasonably have deserved. No one could object openly, though everyone had privately prepared an objection."
Jane Austen,"The report by evening revealed an error in the final total, a circumstance which produced more feeling than the occasion might reasonably have deserved. Its importance increased at once, particularly among those who understood none of it."
Jane Austen,"A visitor during supper asked a question no one wished to answer, a circumstance which produced more feeling than the occasion might reasonably have deserved. The company became remarkably united in disapproval, each for an entirely different reason."
Jane Austen,"The garden after rain looked brighter than anyone expected, a circumstance which produced more feeling than the occasion might reasonably have deserved. It was admired as sensible by those who had no intention of being inconvenienced by it."
Jane Austen,"A promise in private was remembered at an inconvenient moment, a circumstance which produced more feeling than the occasion might reasonably have deserved. The concern shown by several persons was exactly proportioned to their own advantage."
Jane Austen,"The train after midnight left several passengers waiting, a circumstance which produced more feeling than the occasion might reasonably have deserved. No one could object openly, though everyone had privately prepared an objection."
Jane Austen,"A small room behind the shop held a box of unclaimed papers, a circumstance which produced more feeling than the occasion might reasonably have deserved. Its importance increased at once, particularly among those who understood none of it."
Jane Austen,"The committee at the next sitting postponed the matter again, a circumstance which produced more feeling than the occasion might reasonably have deserved. The company became remarkably united in disapproval, each for an entirely different reason."
Jane Austen,"A child near the river noticed something shining in the mud, a circumstance which produced more feeling than the occasion might reasonably have deserved. It was admired as sensible by those who had no intention of being inconvenienced by it."
Jane Austen,"The street at closing time grew silent except for one cart, a circumstance which produced more feeling than the occasion might reasonably have deserved. The concern shown by several persons was exactly proportioned to their own advantage."
Jane Austen,"An old photograph in a drawer brought back an argument from years ago, a circumstance which produced more feeling than the occasion might reasonably have deserved. No one could object openly, though everyone had privately prepared an objection."
Jane Austen,"The clerk before lunch changed his opinion after reading the note, a circumstance which produced more feeling than the occasion might reasonably have deserved. Its importance increased at once, particularly among those who understood none of it."
Jane Austen,"A cup of tea on the table went cold while the guests waited, a circumstance which produced more feeling than the occasion might reasonably have deserved. The company became remarkably united in disapproval, each for an entirely different reason."
Jane Austen,"The bridge at sunset seemed safer than it had in the morning, a circumstance which produced more feeling than the occasion might reasonably have deserved. It was admired as sensible by those who had no intention of being inconvenienced by it."
Jane Austen,"A rumor through the village spread faster than the facts, a circumstance which produced more feeling than the occasion might reasonably have deserved. The concern shown by several persons was exactly proportioned to their own advantage."
Jane Austen,"The lamp by the window remained lit long after the house slept, a circumstance which produced more feeling than the occasion might reasonably have deserved. No one could object openly, though everyone had privately prepared an objection."
Jane Austen,"A parcel at the front door contained an object nobody recognized, a circumstance which produced more feeling than the occasion might reasonably have deserved. Its importance increased at once, particularly among those who understood none of it."
Jane Austen,"The witness after a pause recalled one detail that changed the discussion, a circumstance which produced more feeling than the occasion might reasonably have deserved. The company became remarkably united in disapproval, each for an entirely different reason."
Jane Austen,"A clock in the hall stopped exactly when the voices fell quiet, a circumstance which produced more feeling than the occasion might reasonably have deserved. It was admired as sensible by those who had no intention of being inconvenienced by it."
Jane Austen,"The market on Saturday was crowded despite the cold wind, a circumstance which produced more feeling than the occasion might reasonably have deserved. The concern shown by several persons was exactly proportioned to their own advantage."
Jane Austen,"A name in the margin appeared beside a sentence that had been crossed out, a circumstance which produced more feeling than the occasion might reasonably have deserved. No one could object openly, though everyone had privately prepared an objection."
Jane Austen,"The doctor late in the afternoon said little but watched everyone closely, a circumstance which produced more feeling than the occasion might reasonably have deserved. Its importance increased at once, particularly among those who understood none of it."
Jane Austen,"A closed window in the back room suggested that someone had recently left, a circumstance which produced more feeling than the occasion might reasonably have deserved. The company became remarkably united in disapproval, each for an entirely different reason."
Jane Austen,"The family at breakfast avoided the subject with remarkable care, a circumstance which produced more feeling than the occasion might reasonably have deserved. It was admired as sensible by those who had no intention of being inconvenienced by it."
Jane Austen,"A storm over the fields made the road almost impossible to follow, a circumstance which produced more feeling than the occasion might reasonably have deserved. The concern shown by several persons was exactly proportioned to their own advantage."
Jane Austen,"The shopkeeper after counting twice found one coin that did not belong there, a circumstance which produced more feeling than the occasion might reasonably have deserved. No one could object openly, though everyone had privately prepared an objection."
Jane Austen,"A message under the door asked for an answer before midnight, a circumstance which produced more feeling than the occasion might reasonably have deserved. Its importance increased at once, particularly among those who understood none of it."
Jane Austen,"The hall during the celebration felt too quiet for such an occasion, a circumstance which produced more feeling than the occasion might reasonably have deserved. The company became remarkably united in disapproval, each for an entirely different reason."
Jane Austen,"A notebook beside the bed contained a list written in two different hands, a circumstance which produced more feeling than the occasion might reasonably have deserved. It was admired as sensible by those who had no intention of being inconvenienced by it."
Jane Austen,"The boat before the tide turned carried only one passenger across, a circumstance which produced more feeling than the occasion might reasonably have deserved. The concern shown by several persons was exactly proportioned to their own advantage."
Jane Austen,"An empty chair at the far end of the room troubled the guests more than it should have, a circumstance which produced more feeling than the occasion might reasonably have deserved. No one could object openly, though everyone had privately prepared an objection."
Jane Austen,"The judge after hearing both sides asked for one final piece of evidence, a circumstance which produced more feeling than the occasion might reasonably have deserved. Its importance increased at once, particularly among those who understood none of it."
Jane Austen,"A cracked mirror above the fireplace reflected a face no one had noticed, a circumstance which produced more feeling than the occasion might reasonably have deserved. The company became remarkably united in disapproval, each for an entirely different reason."
Jane Austen,"The library near closing received a book with several pages removed, a circumstance which produced more feeling than the occasion might reasonably have deserved. It was admired as sensible by those who had no intention of being inconvenienced by it."
